Model_Index,Bird_Species,Wiki_Summary
0,Abbotts Babbler,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
1,Abbotts Booby,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
2,Abyssinian Ground Hornbill,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
3,Acadian Flycatcher,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
4,Common Myna,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
5,African Crowned Crane,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
6,African Emerald Cuckoo,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
7,African Firefinch,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
8,African Oyster Catcher,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
9,African Pied Hornbill,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
10,African Pygmy Goose,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
11,Alberts Towhee,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
12,Common Kingfisher,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
13,Alexandrine Parakeet,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
14,Alpine Chough,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
15,Altamira Yellowthroat,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
16,American Avocet,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
17,American Bittern,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
18,American Coot,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
19,American Crow,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
20,American Dipper,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
21,American Flamingo,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
22,American Goldfinch,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
23,American Kestrel,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
24,American Pipit,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
25,American Redstart,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
26,American Robin,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
27,American Three Toed Woodpecker,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
28,American Wigeon,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
29,Amethyst Woodstar,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
30,Anas Platyrhynchos Mallard,Summary currently unavailable.
31,Andean Goose,Summary currently unavailable.
32,Andean Lapwing,Summary currently unavailable.
33,Andean Siskin,Summary currently unavailable.
34,Anhinga,Summary currently unavailable.
35,Anianiau,Summary currently unavailable.
36,Accipiter Badius,Summary currently unavailable.
37,Accipiter Cooperii,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
38,Accipiter Gentilis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
39,Accipiter Nisus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
40,Accipiter Striatus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
41,Accipiter Trivirgatus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
42,Aegypius Monachus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
43,Aquila Audax,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
44,Aquila Chrysaetos,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
45,Aquila Heliaca,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
46,Aquila Nipalensis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
47,Aquila Rapax,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
48,Busarellus Nigricollis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
49,Buteo Albonotatus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
50,Buteo Brachyurus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
51,Buteo Buteo,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
52,Buteo Jamaicensis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
53,Buteo Lagopus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
54,Buteo Lineatus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
55,Buteo Plagiatus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
56,Buteo Platypterus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
57,Buteo Regalis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
58,Buteo Rufinus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
59,Buteo Rufofuscus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
60,Buteo Swainsoni,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
61,Buteogallus Anthracinus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
62,Buteogallus Meridionalis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
63,Buteogallus Urubitinga,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
64,Chondrohierax Uncinatus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
65,Circaetus Cinereus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
66,Circaetus Gallicus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
67,Circus Aeruginosus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
68,Circus Approximans,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
69,Circus Cyaneus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
70,Circus Hudsonius,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
71,Circus Macrourus,Summary currently unavailable.
72,Circus Pygargus,Summary currently unavailable.
73,Clanga Clanga,Summary currently unavailable.
74,Elanoides Forficatus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
75,Elanus Axillaris,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
76,Elanus Caeruleus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
77,Elanus Leucurus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
78,Geranoaetus Albicaudatus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
79,Geranoaetus Melanoleucus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
80,Geranoaetus Polyosoma,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
81,Geranospiza Caerulescens,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
82,Gypaetus Barbatus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
83,Gyps Africanus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
84,Gyps Fulvus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
85,Haliaeetus Albicilla,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
86,Haliaeetus Leucocephalus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
87,Haliaeetus Leucogaster,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
88,Haliaeetus Vocifer,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
89,Haliastur Indus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
90,Haliastur Sphenurus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
91,Hieraaetus Pennatus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
92,Ictinia Mississippiensis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
93,Ictinia Plumbea,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
94,Lophaetus Occipitalis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
95,Melierax Canorus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
96,Milvus Migrans,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
97,Milvus Milvus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
98,Necrosyrtes Monachus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
99,Neophron Percnopterus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
100,Nisaetus Cirrhatus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
101,Parabuteo Unicinctus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
102,Pernis Apivorus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
103,Pernis Ptilorhynchus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
104,Polemaetus Bellicosus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
105,Polyboroides Typus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
106,Rostrhamus Sociabilis,Summary currently unavailable.
107,Rupornis Magnirostris,Summary currently unavailable.
108,Spilornis Cheela,Summary currently unavailable.
109,Terathopius Ecaudatus,Summary currently unavailable.
110,Pandion Haliaetus,Summary currently unavailable.
111,Sagittarius Serpentarius,Summary currently unavailable.
112,Aix Galericulata,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
113,Aix Sponsa,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
114,Alopochen Aegyptiaca,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
115,Amazonetta Brasiliensis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
116,Anas Acuta,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
117,Anas Bahamensis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
118,Anas Castanea,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
119,Anas Crecca,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
120,Anas Diazi,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
121,Anas Erythrorhyncha,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
122,Anas Flavirostris,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
123,Anas Fulvigula,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
124,Anas Georgica,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
125,Anas Gracilis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
126,Anas Platyrhynchos,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
127,Anas Poecilorhyncha,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
128,Anas Rubripes,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
129,Anas Superciliosa,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
130,Anas Undulata,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
131,Anas Zonorhyncha,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
132,Anser Albifrons,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
133,Anser Anser,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
134,Anser Brachyrhynchus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
135,Anser Caerulescens,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
136,Anser Cygnoides,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
137,Anser Fabalis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
138,Anser Indicus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
139,Anser Rossii,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
140,Aythya Affinis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
141,Aythya Americana,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
142,Aythya Australis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
143,Aythya Collaris,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
144,Aythya Ferina,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
145,Aythya Fuligula,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
146,Aythya Marila,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
147,Aythya Novaeseelandiae,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
148,Aythya Nyroca,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
149,Aythya Valisineria,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
150,Branta Bernicla,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
151,Branta Canadensis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
152,Branta Hutchinsii,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
153,Branta Leucopsis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
154,Branta Sandvicensis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
155,Bucephala Albeola,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
156,Bucephala Clangula,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
157,Bucephala Islandica,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
158,Cairina Moschata,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
159,Cereopsis Novaehollandiae,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
160,Chenonetta Jubata,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
161,Chloephaga Picta,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
162,Clangula Hyemalis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
163,Coscoroba Coscoroba,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
164,Cygnus Atratus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
165,Cygnus Buccinator,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
166,Cygnus Columbianus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
167,Cygnus Cygnus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
168,Cygnus Melancoryphus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
169,Cygnus Olor,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
170,Dendrocygna Autumnalis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
171,Dendrocygna Bicolor,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
172,Dendrocygna Javanica,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
173,Dendrocygna Viduata,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
174,Histrionicus Histrionicus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
175,Lophodytes Cucullatus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
176,Lophonetta Specularioides,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
177,Malacorhynchus Membranaceus,Summary currently unavailable.
178,Mareca Americana,Summary currently unavailable.
179,Mareca Penelope,Summary currently unavailable.
180,Mareca Strepera,Summary currently unavailable.
181,Melanitta Americana,Summary currently unavailable.
182,Melanitta Deglandi,Summary currently unavailable.
183,Melanitta Perspicillata,Summary currently unavailable.
184,Mergellus Albellus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
185,Mergus Merganser,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
186,Mergus Serrator,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
187,Netta Peposaca,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
188,Netta Rufina,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
189,Oxyura Jamaicensis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
190,Plectropterus Gambensis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
191,Sarkidiornis Melanotos,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
192,Somateria Mollissima,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
193,Spatula Clypeata,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
194,Spatula Cyanoptera,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
195,Spatula Discors,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
196,Spatula Querquedula,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
197,Spatula Rhynchotis,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
198,Tadorna Ferruginea,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
199,Tadorna Tadorna,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
200,Tadorna Tadornoides,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
201,Tadorna Variegata,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
202,Chauna Torquata,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
203,Anseranas Semipalmata,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
204,Anthracoceros Albirostris,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
205,Lophoceros Alboterminatus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
206,Lophoceros Nasutus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
207,Tockus Leucomelas,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
208,Bucorvus Leadbeateri,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
209,Phoeniculus Purpureus,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
210,Upupa Epops,This species is so rare or specific that Wikipedia doesn't have a direct page for it yet!
