species_query,wikipedia_title,text,source_url
Abbotts Babbler,Abbott's babbler,"--- Summary ---
Abbott's babbler (Malacocincla abbotti) is a species of bird in the family Pellorneidae. It is widely distributed along the Himalayas in South Asia and extending into the forests of Southeast Asia. They are short-tailed and stout birds which forage in pairs in dense undergrowth close to the ground and their presence is indicated by their distinctive calls.

--- Description ---
The adult Abbott's babbler is a nondescript, brown, short-tailed babbler that moves about in the low vegetation often near streams and in the vicinity of tree ferns and tangled vegetation. The throat is gray-white while the center of the belly is white, and the flanks are olive. The undertail coverts are rusty-colored. The sexes are alike. It has a short tail and heavy bill; it is drab olive-brown with bright rusty lower flanks and vent, a grayish-white throat and breast, and variable pale gray supercilium and lores. Juvenile birds have dark rufescent-brown crowns and upperparts. The calls are distinctive. The subspecies M. a. krishnarajui of the Eastern Ghats has a darker russet tail and rump than the Himalayan nominate subspecies. Specimens measure 12–13 cm (4.7–5.1 in) in length, with a head of 39–44 mm (1.5–1.7 in), and a tail of 55–61 mm (2.2–2.4 in).

--- Taxonomy ---
Abbott's babbler was described by the English zoologist Edward Blyth in 1845 and given the binomial name Malacocincla abbotti. The genus name Malacocincla combines the Ancient Greek malakos meaning ""soft"" with modern Latin cinclus, meaning ""thrush""; referring to the birds' full and drooping plumage. The specific name abbotti was chosen by Blyth to honour the specimen collector, Lieutenant Colonel J. R. Abbott (1811–1888), who served in British India as Assistant Commissioner of the Arakan from 1837 to 1845. Blyth erected the new genus Malacocincla for this species, but subsequent workers placed the species in Turdinus and Trichastoma. A revision reinstated its placement in Malacocincla in 1985. A 2001 study confirmed the cohesiveness of the Trichastoma group but a 2012 study shows that M. abbotti and M. sepiaria are in a clade along with Napothera, while M. cinereiceps and M. malaccensis fall into a different clade along with the genus Trichastoma and several species of Pellorneum. An isolated population occurs in the Visakhapatnam Ghats, well separated from the nearest main distribution along the Himalayas and was named after Indian ornithologist K.S.R. Krishna Raju by Dillon Ripley and Bruce Beehler in 1985. The nominate population is from southern Myanmar and extends to southern Tenasserim and northwestern Malaya including the Langkawi Islands. Several other populations of this widespread species have been named as subspecies and not all are recognized. The population in the eastern Himalayas from eastern Nepal to Sikkim and Assam was named as amabile, but is now considered within the nominate subspecies. Others include altera (central Laos and Annam), williamsoni (eastern Thailand and northwestern Cambodia), obscurior (coastal southeastern Thailand), olivaceum (Peninsular Thailand and Malaya), sirense (Borneo, Pulau Mata Siri), and baweanum (Bawean Island).
Eight subspecies are recognized:

M. a. abbotti Blyth, 1845 – east Himalayas to central Malay Peninsula
M. a. krishnarajui Ripley & Beehler, 1985 – east India
M. a. williamsoni Deignan, 1948 – east Thailand to south Vietnam
M. a. obscurior Deignan, 1948 – east Thailand and southwest Cambodia
M. a. altera Sims, 1957 – central Laos and central Vietnam
M. a. olivacea Strickland, 1847 – south Malay Peninsula and Sumatra
M. a. concreta Büttikofer, 1895 – Borneo and Belitung Island
M. a. baweana Oberholser, 1917 – Bawean Island (north of Java)",https://en.wikipedia.org/wiki/Abbott%27s_babbler
Abyssinian Ground Hornbill,Abyssinian ground hornbill,"--- Summary ---
The Abyssinian ground hornbill or northern ground hornbill (Bucorvus abyssinicus) is an African bird, found north of the equator, and is one of two species of ground hornbill. It is the second largest species of African hornbill, only surpassed by the slightly larger southern ground hornbill.

--- Description ---
Abyssinian ground hornbill is a large, terrestrial hornbill with black body feathers and white primary feathers which are visible in flight.  The adult male has a patch of bare blue skin around the eye and an inflatable patch of bare skin on the neck and throat which is red, apart from the upper throat which is blue. The bill is long and black except for a reddish patch at the base of the mandible. On top of the bill there is a short open-ended black casque. The female is similar but smaller with any bare skin being wholly dark blue. Juvenile birds are dark sooty-brown with a smaller bill, with an incipient casque. As the juvenile matures, which usually takes 3 years, it gradually develops the plumage, bare skin colour and casque of the adults.  The total length is 90 to 110 cm (35 to 43 in).
The Abyssinian ground hornbill has long feathers that look like eyelashes that surround its eyes. These protect the eyes from injury.
It reportedly averages around 90 to 100 cm (35 to 39 in) tall, around 110 cm (43 in) and weighs approximately 4 kg (8.8 lb). Per Stevenson and Fanshawe, the Abyssinian is a larger species on average than the southern ground hornbill, at 102 cm (40 in), but published weights and standard measurements contrarily indicate the southern species is indeed slightly larger.

--- Taxonomy ---
The Abyssinian ground hornbill was described by the French polymath Georges-Louis Leclerc, Comte de Buffon in 1780 in his Histoire Naturelle des Oiseaux. The bird was also illustrated in a hand-coloured plate engraved by François-Nicolas Martinet in the Planches Enluminées D'Histoire Naturelle which was produced under the supervision of Edme-Louis Daubenton to accompany Buffon's text.  Neither the plate caption nor Buffon's description included a scientific name but in 1783 the Dutch naturalist Pieter Boddaert coined the binomial name Buceros abyssinicus in his catalogue of the Planches Enluminées. The type locality is Ethiopia. The Abyssinian ground hornbill is now placed in the genus Bucorvus that was introduced, originally as a subgenus, by the French naturalist René Lesson in 1830. The species is monotypic. The generic name is derived from the name of the genus Buceros introduced by Carl Linnaeus in 1758 for the Asian hornbills where corvus is the Latin word for a ""raven"".",https://en.wikipedia.org/wiki/Abyssinian_ground_hornbill
Acadian Flycatcher,Acadian flycatcher,"--- Summary ---
The Acadian flycatcher (Empidonax virescens) is a small insect-eating bird of the tyrant flycatcher family.

--- Description ---
Adults have olive upperparts, darker on the wings and tail, with whitish underparts; they have a white eye ring, white wing bars and a wide bill. The breast is washed with olive. The upper part of the bill is dark; the lower part is yellowish. This bird's song is an explosive peet-sa. The call is a soft peet. They also have a call similar to that of the northern flicker.  A unique two-note song described as ""ka-zeep"" helps to identify this species.
Measurements:

Length: 5.5–5.9 inches (14–15 cm)
Weight: 0.4–0.5 ounces (11–14 g)
Wingspan: 8.7–9.1 inches (22–23 cm)

--- Taxonomy ---
Originally described in 1810 by ornithologist Alexander Wilson, its first scientific name was Muscicapa querula. The Acadian flycatcher is the only member of its clade within Empidonax, but is most closely related to willow and alder flycatchers.
Because of the similar appearance of the Empidonax flycatchers, the Acadian flycatcher owes its name to a misidentified type specimen for the species, taken in the historic Acadia region of Nova Scotia. Despite its common name, the Acadian flycatcher does not have a native range in Nova Scotia or historic Acadia.

--- Distribution ---
Its breeding habitat is deciduous forests, often near water, across the eastern United States and southwestern Ontario. These birds migrate through eastern Mexico and the Caribbean to southern Central America and the very northwest of South America in Colombia, western Venezuela, and Ecuador.
The numbers of these birds have declined somewhat in the southern parts of their range. Brown-headed cowbirds lay eggs in the nests of these birds in some areas. However, only 16% of cowbird young in Acadian flycatcher nests fledge successfully.
They wait on a perch in the middle of a tree and fly out to catch insects in flight (hawking), also sometimes picking insects from foliage while hovering (gleaning). They may eat some berries and seeds.
They make a loose, shallow nest in a horizontal forks of trees and shrubs, primarily in lowland forests and marshy areas.
The Acadian flycatcher is an excellent flier; it is extremely maneuverable, can hover, and can even fly backward. There is no scientific information on hopping or walking by this bird.
As of October 2015 there have been 2 records of Acadian flycatcher in Europe, the first being a bird found dead in Iceland in 1967, and the second a bird found on the beach at Dungeness in Kent, England in September 2015, the latter's identity being established by DNA from its droppings.",https://en.wikipedia.org/wiki/Acadian_flycatcher
Common Myna,Common myna,"--- Summary ---
The common myna or Indian myna (Acridotheres tristis), sometimes spelled mynah, is a bird in the family Sturnidae, native to Asia. An omnivorous open woodland bird with a strong territorial instinct, the common myna has adapted extremely well to urban environments.
The range of the common myna is increasing at such a rapid rate that in 2000 the IUCN Species Survival Commission declared it one of the world's most invasive species and one of only three birds listed among ""100 of the World's Worst Invasive Species"" that pose a threat to biodiversity, agriculture and human interests. In particular, the species poses a serious threat to the ecosystems of Australia, where it was named ""The Most Important Pest/Problem"" in 2008.

--- Description ---
The common myna is readily identified by the brown body, black hooded head and the bare yellow patch behind the eye. The bill and legs are bright yellow. They have rounded wings as well, and a round square tipped tail. There is a white patch on the outer primaries and the wing lining on the underside is white, as well as having a white tail tip. The sexes are similar and birds are usually seen in pairs.
The common myna obeys Gloger's rule in that the birds from northwestern India tend to be paler than their darker counterparts in southern India.

--- Taxonomy ---
In 1760, the French zoologist Mathurin Jacques Brisson included a description of the common myna in his Ornithologie, based on a specimen that he mistakenly believed had been collected in the Philippines. He used the French name Le merle des Philippines and the Latin Merula Philippensis. Although Brisson coined Latin names, they do not conform to the binomial system and are not recognised by the International Commission on Zoological Nomenclature.
When the Swedish naturalist, Carl Linnaeus, updated his Systema Naturae in 1766, for the 12th edition, he added 240 species that had been previously described by Brisson. One of them was the common myna. Linnaeus included a brief description, coined the binomial name Paradisea tristis and cited Brisson's work. The type location was subsequently corrected to Pondicherry in southern India.",https://en.wikipedia.org/wiki/Common_myna
African Emerald Cuckoo,African emerald cuckoo,"--- Summary ---
The African emerald cuckoo (Chrysococcyx cupreus) is a species of cuckoo that is native to Africa.

--- Description ---
The African emerald cuckoo is sexually dimorphic. The males have a green back and head with a yellow breast. Females are barred green and brown on their backs and green and white on their breasts. The African emerald cuckoo can also be identified by its call, a four-note whistle with the mnemonic device of ""Hello Ju-dy.""

--- Distribution ---
Its range covers most of sub-Saharan Africa, including Angola, Botswana, Burundi, Cameroon, Central African Republic, Republic of the Congo, DRC, Ivory Coast, Equatorial Guinea, Eritrea, Eswatini, Ethiopia, Gabon, Gambia, Ghana, Guinea, Guinea-Bissau, Kenya, Liberia, Malawi, Mali, Mozambique, Namibia, Nigeria, Rwanda, São Tomé and Príncipe, Senegal, Sierra Leone, South Africa, South Sudan, Tanzania, Togo, Uganda, Zambia, and Zimbabwe.",https://en.wikipedia.org/wiki/African_emerald_cuckoo
African Firefinch,African firefinch,"--- Summary ---
The African firefinch (Lagonosticta rubricata), also called the blue-billed firefinch, is a common species of estrildid finch found in many parts of Africa. It has an estimated global extent of occurrence of 5,400,000 km2 (2,100,000 mi2).

--- Description ---
The African firefinch is a small red or red and brown species of estrildid finch. The male has a lead grey crown, nape and neck, merging on to an olive brown mantles with the scapulars, wing coverts and tertials also olive brown, sometimes with a grey tinge. The rump, uppertail coverts, outer tail fathers are deep carmine red, the rest of the tail is black. The underparts from the chin to the belly are deep scarlet, with small white spots on the upper breast and flanks, the scarlet of the flanks continues to the side of the rump.  The centre of the belly is greyish becoming black on the vent and the undertail coverts. the short, pointed bill is blackish-grey with a pink base to the lower mandible. The female is similar to the male but is less intensely coloured; juveniles lack any red on the underparts. The African firefinch measures 10–11 cm (3.9–4.3 in) in length and weighs 8.6–11.7 g (0.30–0.41 oz).

--- Taxonomy ---
The African firefinch was formally described in 1823 by the German naturalist Hinrich Lichtenstein. He placed it with the finches in the genus Fringilla and coined the binomial name Fringilla rubricata. Lichtenstein gave the locality as ""terra Caffrorum"". This has been restricted to the town of Uitenhage in the Eastern Cape Province of South Africa. The specific epithet rubricata is from Latin rubricatus meaning ""orange-red"" or ""ruddy"". The African firefinch is now placed in the genus Lagonosticta that was introduced in 1851 by Jean Cabanis. An alternative common name for this species is the blue-billed firefinch.
Five subspecies are recognised.

L. r. polionota Shelley, 1873 – south Senegal to Nigeria
L. r. congica Sharpe, 1890 – Cameroon to south Sudan, west Uganda, south, east DR Congo and north Angola
L. r. haematocephala Neumann, 1907 – east Sudan, Ethiopia, central, south Uganda, west, central Kenya south to Zambia, Malawi, east Zimbabwe, east Tanzania and north, central Mozambique
L. r. landanae Sharpe, 1890 – Gabon to west DR Congo and northwest Angola
L. r. rubricata (Lichtenstein, MHC, 1823) – south Mozambique and north, east South Africa
The subspecies L. r. landanae has sometimes been treated as a separate species with the common name as either the Landana firefinch or the pale-billed firefinch. It differs from the other subspecies mainly in the bill colour but its plumage is very close to that of L. r. haematocephala.",https://en.wikipedia.org/wiki/African_firefinch
African Pied Hornbill,Congo pied hornbill,"--- Summary ---
The Congo pied hornbill (Lophoceros fasciatus) is a bird of the hornbill family, a family of tropical near-passerine birds found in the Old World.
The Congo pied hornbill is native to the Congo Basin. This is a bird of mainly forest habitats. The female lays up to four white eggs in a tree hole, which is blocked off during incubation with a cement made of mud, droppings and fruit pulp. There is only one narrow aperture, just big enough for the male to transfer food to the mother and the chicks.",https://en.wikipedia.org/wiki/Congo_pied_hornbill
African Pygmy Goose,African pygmy goose,"--- Summary ---
The African pygmy goose  (Nettapus auritus) is a perching duck from sub-Saharan Africa. It is the smallest of Africa's waterfowl, and one of the smallest in the world.
Though pygmy geese have beaks like those of geese, they are more related to the dabbling ducks and other species called 'ducks'.
It is one of the species to which the Agreement on the Conservation of African-Eurasian Migratory Waterbirds (AEWA) applies.

--- Description ---
The African pygmy goose is one of the smallest of the perching ducks, and it has the average weight of about 285 grams (10.1 oz) for males and 260 grams (9.2 oz) for females. Length of individual wings is between 142 millimetres (5.6 in) and 165 millimetres (6.5 in) (not to be confused with wingspan).
They have a short bill which extends up the forehead so they superficially resemble geese.
The males have a white face with black eye patches. The iridescent black crown extends down the back of the neck. This structure fringes powder green ear patches. The upper half of the fore neck is white and forms an open collar around the neck whereas the base if the neck and breast are light chestnut colored. The flanks are more intensely chestnut colored and the back is metallic green. The sixteen tail feathers are black. The wing feathers are black with metallic green iridescence on the coverts, with the exemption of a white bar on the distal secondaries. The belly is white. The bill is yellow with a black tip and the feet are dark-gray to black. The iris of there is reddish brown.
The females have a gray face with a dark brown eye stripe and smudged brown patches on the cheeks and nape. They have dark-brown a forehead, crown and back of the neck with a slight iridescence. The breast and flanks have a dark chestnut coloration. Their back is dark brown. The wing feathers are dark brown-black with the exemption of a white bar on the distal secondaries. The belly is white. The lower part of the bill is yellow, the upper part mottled brown with a dark brown tip and the feet are dark-gray to black.
Ducklings have a white face with a pattern similar to that of the adult female in black and a dark gray eye patch. Their black crown extends in a V-shape from the base of the bill to the back of the neck. The rump and flanks are white, the back and tail black. Neck, breast and belly are light-gray to white the wings are black. The lower part of the bill is pink, the upper part is gray with alight brown tip and the feet are dark-gray to black.

--- Behavior ---
The African pygmy goose feeds mainly on the seeds of water lilies (Nymphaea spp.)  but also on other floating seeds and small insects as well as other small invertebrates. 
They live in strong pair bonds that may last over several seasons and their breeding is triggered by rains. In captivity successful breeding is rare,.

--- Taxonomy ---
The African pygmy goose was described by the French polymath Georges-Louis Leclerc, Comte de Buffon in his Histoire Naturelle des Oiseaux in 1785. The bird was also illustrated in a hand-coloured plate engraved by François-Nicolas Martinet in the Planches Enluminées D'Histoire Naturelle which was produced under the supervision of Edme-Louis Daubenton to accompany Buffon's text. Neither the plate caption nor Buffon's description included a scientific name but in 1783 the Dutch naturalist Pieter Boddaert coined the binomial name Anas aurita in his catalogue of the Planches Enluminées. The type locality is Madagascar. The current genus Nettapus was erected by the German naturalist Johann Friedrich von Brandt 1836. The word Nettapus is from the Ancient Greek nētta ""duck"" and pous ""foot"". It was thought that the African pygmy goose possessed the feet and body of a duck and the neck of a goose. The specific auritus is the Latin word for ""eared"" or ""long-eared"". The species is monotypic.

--- Distribution ---
The African pygmy goose is known to be nomadic. It can be found across a wide area of sub-Saharan Africa and Madagascar. It lives in habitats of slow flowing or stagnant water with a cover of water lilies (mostly inland wetlands, but also open swamps, farm dens, river pools, and estuaries).",https://en.wikipedia.org/wiki/African_pygmy_goose
Common Kingfisher,Common kingfisher,"--- Summary ---
The common kingfisher (Alcedo atthis), also known as the Eurasian kingfisher and river kingfisher, is a small kingfisher with seven subspecies recognized within its wide distribution across Eurasia and North Africa. It is resident in much of its range, but migrates from areas where rivers freeze in winter.
This sparrow-sized bird has the typical short-tailed, large-headed kingfisher profile; it has blue upperparts, orange underparts and a long bill. It feeds mainly on fish, caught by diving, and has special visual adaptations to enable it to see prey under water. The glossy white eggs are laid in a nest at the end of a burrow in a riverbank.

--- Description ---
This species has the typical short-tailed, dumpy-bodied, large-headed, and long-billed kingfisher shape. The adult male of the western European subspecies, A. a. ispida has green-blue upperparts with pale azure-blue back and rump, a rufous patch by the bill base, and a rufous ear-patch. It has a green-blue neck stripe, white neck blaze and throat, rufous underparts, and a black bill with some red at the base. The legs and feet are bright red. It is about 16 cm (6+1⁄2 in) long with a wingspan of 25 cm (10 in), and weighs 34–46 g (1+3⁄16–1+5⁄8 oz). The female is identical in appearance to the male except that her lower mandible is orange-red with a black tip. The juvenile is similar to the adult, but with duller and greener upperparts and paler underparts. Its bill is black, and the legs are also initially black. Feathers are moulted gradually between July and November with the main flight feathers taking 90–100 days to moult and regrow. Some that moult late may suspend their moult during cold winter weather.

The flight of the kingfisher is fast, direct and usually low over water. The short, rounded wings whirr rapidly, and a bird flying away shows an electric-blue ""flash"" down its back.
In North Africa, Europe and Asia north of the Himalayas, this is the only small blue kingfisher. In south and southeast Asia, it can be confused with six other small blue-and-rufous kingfishers, but the rufous ear patches distinguish it from all but juvenile blue-eared kingfishers; details of the head pattern may be necessary to differentiate the two species where both occur.
The common kingfisher has no song. The flight call is a short, sharp whistle chee repeated two or three times. Anxious birds emit a harsh, shrit-it-it and nestlings call for food with a churring noise.

--- Taxonomy ---
The common kingfisher was first described by Carl Linnaeus in the 10th edition of his Systema Naturae in 1758 as Gracula atthis. The modern binomial name derives from the Latin alcedo, 'kingfisher' (from Greek ἀλκυών, halcyon), and Atthis, a beautiful young woman of Lesbos, and favourite of Sappho.
The genus Alcedo comprises seven small kingfishers that all eat fish as part of their diet. The common kingfisher's closest relative is the cerulean kingfisher that has white underparts and is found in parts of Indonesia.",https://en.wikipedia.org/wiki/Common_kingfisher
Alexandrine Parakeet,Alexandrine parakeet,"--- Summary ---
The Alexandrine parakeet (Psittacula eupatria), also known as the Alexandrine parrot, is a medium-sized parrot in the genus Psittacula of the family Psittaculidae, native to South Asia and Southeast Asia. It is named after Alexander the Great, who transported numerous birds from Punjab to various European and Mediterranean countries and regions, where they were prized by the royalty, nobility and warlords.
The Alexandrine parakeet has established feral populations in Turkey,
Iraq, Kuwait, Saudi Arabia, Bahrain, Qatar, the United Arab Emirates, Iran, Pakistan, Germany, The Netherlands and Belgium where it lives alongside feral populations of its close relative, the rose-ringed parakeet (Psittacula krameri).

--- Description ---
The Alexandrine parakeet is one of the largest parakeets, measuring 56 to 62 cm (22 to 24 in) from the top of the head to the tip of the tail and weighing 200 to 300 g (7.1 to 10.6 oz). The tail measures 28 to 35 cm (11 to 14 in). It is predominantly green with a light blue-grey sheen on the cheeks and nape (back of the neck), yellow-green abdomen, red patch on the shoulders and massive red beak with yellow tips. The upper-side of the tail passes from green at the top to blue further down, and is yellow at the tip. The underside of the tail is yellow.
Adults are sexually dimorphic. Adult males have a black stripe across their lower cheeks and a pink band on their nape. Adult females lack both a black cheek stripe and a pink nape band. The young are similar in appearance to adult females but have shorter tails.",https://en.wikipedia.org/wiki/Alexandrine_parakeet
